aluno_id,horas_estudo,frequencia,atividades_entregues,nota_anterior,nota_final
133,9.2,81.0,8,5.3,7.4
134,6.2,62.0,5,7.1,6.0
135,1.9,92.0,9,5.2,6.3
136,3.4,75.0,7,6.2,7.1
137,8.1,76.0,8,8.0,7.8
138,9.9,70.0,7,5.2,6.9
139,14.0,75.0,4,7.7,9.5
140,17.2,87.0,4,7.4,8.2
141,8.5,80.0,9,4.5,6.0
142,3.5,86.0,9,8.0,7.4
143,0.0,86.0,6,7.5,6.0
144,7.9,97.0,6,6.4,6.6
145,4.2,78.0,7,4.8,4.8
146,5.5,66.0,7,4.7,7.0
147,4.9,94.0,10,5.2,7.0
148,6.5,78.0,8,7.2,6.4
149,10.7,94.0,8,4.5,7.8
150,7.5,86.0,6,7.0,6.8
151,6.4,81.0,7,4.0,5.5
152,3.4,86.0,7,5.8,6.3
153,1.1,100.0,7,6.4,5.1
154,5.3,100.0,10,10.0,8.9
155,6.8,83.0,10,3.7,7.6
156,13.2,84.0,9,8.8,9.4
157,7.5,94.0,7,6.5,6.8
158,10.4,73.0,8,6.9,7.1
159,5.3,86.0,9,6.4,6.6
160,2.9,82.0,8,7.0,6.1
161,3.6,85.0,9,5.9,6.1
162,4.5,73.0,7,8.8,7.5
163,14.4,65.0,7,5.4,6.0
164,4.1,59.0,6,8.2,6.6
165,9.9,70.0,7,5.0,6.1
166,3.8,77.0,4,6.1,5.5
167,10.3,79.0,7,4.3,5.6
168,8.3,100.0,8,7.0,8.7
169,6.5,94.0,6,8.8,8.4
170,6.9,71.0,9,6.1,7.3
171,4.7,86.0,10,5.8,5.7
172,8.6,78.0,9,4.2,7.0
173,5.4,79.0,7,5.8,6.4
174,2.7,84.0,9,3.3,4.1
175,2.5,89.0,8,4.6,5.6
176,7.6,78.0,7,6.6,7.0
177,12.5,94.0,7,8.6,9.1
178,7.6,69.0,6,10.0,7.6
179,6.6,82.0,7,5.1,6.3
180,8.0,100.0,7,8.8,9.2
181,11.6,84.0,7,6.6,8.5
182,7.8,98.0,9,5.9,5.4
183,5.6,83.0,10,7.0,7.0
184,10.9,88.0,9,6.3,7.8
185,8.5,81.0,7,6.4,5.7
186,12.4,80.0,7,5.5,7.3
187,7.6,73.0,6,3.7,6.3
188,2.7,87.0,7,3.4,4.2
189,2.2,73.0,5,7.4,5.7
190,12.8,89.0,8,5.7,7.2
191,13.0,94.0,7,5.1,7.1
192,6.4,86.0,6,6.2,7.4
193,5.7,79.0,8,7.6,6.6
194,12.1,87.0,8,6.5,8.3
195,3.1,79.0,4,5.0,3.5
196,3.9,92.0,8,8.4,8.5
197,9.3,62.0,7,9.0,7.9
198,5.6,78.0,8,7.1,6.6
199,7.0,60.0,7,8.0,7.1
200,6.4,66.0,6,8.4,5.7
201,8.2,97.0,7,8.2,8.7
202,11.9,92.0,7,7.3,7.9
203,7.3,74.0,7,7.3,6.7
204,9.3,65.0,6,7.1,6.3
205,0.0,49.0,6,4.2,3.2
206,6.8,76.0,8,7.5,7.5
207,4.0,100.0,9,3.8,6.2
208,2.7,87.0,6,4.8,5.7
209,3.9,76.0,6,8.5,6.5
210,5.8,87.0,8,7.7,7.6
211,10.2,65.0,5,8.9,7.0
212,2.4,79.0,6,5.7,6.9
213,7.1,83.0,8,4.1,5.0
214,5.3,81.0,6,5.8,6.8
215,5.9,91.0,7,6.4,7.6
216,10.5,86.0,8,6.3,6.9
217,8.9,89.0,7,8.2,9.4
218,11.7,74.0,7,5.5,7.7
219,6.5,92.0,9,6.8,8.0
220,4.6,100.0,7,4.4,6.0
221,6.2,71.0,5,7.0,5.9
222,7.8,72.0,8,6.2,6.5
223,7.6,97.0,7,4.9,6.9
224,3.2,80.0,4,5.8,6.1
225,7.3,97.0,6,5.9,6.8
226,7.8,77.0,7,5.7,5.8
227,15.8,98.0,9,9.4,10.0
228,13.6,83.0,7,6.0,8.4
229,4.0,85.0,9,5.8,6.8
230,6.0,99.0,5,2.4,5.6
231,1.9,78.0,7,4.6,4.8
232,4.9,72.0,9,5.7,5.5
233,8.1,77.0,5,5.0,5.2
234,11.2,87.0,7,8.7,7.2
235,4.4,65.0,4,5.9,5.1
236,4.7,89.0,7,8.5,7.1
237,0.0,76.0,6,6.3,4.7
238,6.4,95.0,10,6.3,5.4
239,3.3,56.0,7,6.0,4.3
240,5.1,73.0,6,6.2,6.6
241,3.9,63.0,8,9.3,6.4
242,6.7,73.0,6,2.0,4.9
243,0.8,85.0,10,2.6,3.9
244,1.9,80.0,7,5.2,6.3
245,14.5,79.0,7,6.2,7.8
246,2.5,80.0,8,7.4,6.5
247,3.2,84.0,10,7.1,8.5
248,13.4,71.0,7,5.5,8.3
249,17.2,90.0,7,8.0,9.0
250,2.9,89.0,9,8.1,6.7
251,5.7,86.0,7,6.5,6.3
252,8.2,88.0,7,7.9,7.9
253,13.1,85.0,9,6.7,8.3
254,3.5,100.0,9,5.2,6.2
255,6.1,81.0,8,7.5,8.1
256,9.7,79.0,7,6.4,7.0
257,8.5,74.0,7,6.2,8.3
258,5.7,71.0,7,8.9,7.1
259,6.5,68.0,3,1.8,5.0
260,2.2,72.0,7,3.6,4.8
261,6.2,81.0,6,4.1,6.2
262,6.1,86.0,5,5.5,5.4
263,7.8,83.0,7,5.7,6.0
264,5.1,74.0,7,3.5,5.4
265,8.7,92.0,7,4.4,7.2
266,10.5,90.0,9,4.7,7.3
267,7.5,80.0,5,10.0,6.6
268,8.2,75.0,6,9.4,6.6
269,7.2,88.0,7,5.5,5.5
270,7.0,84.0,7,5.5,5.1
271,4.5,66.0,6,4.1,4.9
272,8.1,81.0,6,2.8,6.2
273,6.7,85.0,9,6.0,6.9
274,14.3,72.0,6,4.4,5.2
275,12.5,84.0,5,6.0,7.0
276,8.4,66.0,3,3.3,4.5
277,4.3,97.0,9,4.8,7.8
278,3.1,96.0,8,6.5,5.5
279,11.2,79.0,7,6.9,7.2
280,7.9,86.0,8,7.0,8.5
281,8.7,55.0,5,3.8,5.3
282,0.9,69.0,7,7.7,6.1
283,10.2,79.0,5,4.8,6.3
284,8.6,70.0,4,7.3,6.6
285,3.1,90.0,6,6.2,6.4
286,5.3,100.0,9,3.7,5.7
287,7.9,69.0,8,5.6,7.0
288,7.2,73.0,6,6.9,5.5
289,6.0,85.0,4,7.3,6.5
290,6.6,100.0,6,5.9,6.8
291,6.1,69.0,5,9.0,6.2
292,7.5,85.0,7,8.0,7.4
293,12.2,100.0,8,5.7,7.6
294,0.0,64.0,5,7.6,4.2
295,6.2,68.0,5,9.7,6.7
296,7.6,77.0,8,9.7,7.2
297,8.0,76.0,6,4.0,5.9
298,5.7,91.0,7,4.5,5.2
299,0.9,85.0,8,8.9,7.2
300,8.1,62.0,3,4.3,4.0
